Date,Open,High,Low,Close,Adj Close,Volume
2023-01-16,58.490002,58.720001,58.349998,58.580002,55.891327,4106300
2023-01-17,58.570000,58.939999,58.389999,58.889999,56.187099,5685100
2023-01-18,59.000000,59.389999,58.279999,58.389999,55.710049,6124900
2023-01-19,58.049999,58.400002,57.669998,57.980000,55.318863,1949700
2023-01-20,58.049999,58.250000,57.709999,58.240002,55.566936,3504500
2023-01-23,58.250000,58.790001,57.900002,58.689999,55.996277,4490300
2023-01-24,58.540001,58.720001,58.250000,58.369999,55.690964,2269300
2023-01-25,58.250000,58.709999,58.080002,58.389999,55.710049,2333000
2023-01-26,58.520000,58.889999,58.389999,58.779999,56.082150,2346000
2023-01-27,58.880001,59.500000,58.790001,59.470001,56.740482,1976000
2023-01-30,59.200001,59.709999,59.200001,59.709999,56.969463,2029700
2023-01-31,59.820000,60.779999,59.799999,60.740002,57.952194,2940400
2023-02-01,60.810001,61.299999,60.560001,61.080002,58.276585,3629200
2023-02-02,61.320000,61.700001,61.029999,61.459999,58.639141,2285200
2023-02-03,61.689999,62.060001,61.529999,61.759998,58.925377,2221900
2023-02-06,61.779999,61.820000,61.209999,61.400002,58.581898,1883900
2023-02-07,61.360001,62.349998,61.160000,62.160000,59.307014,1979600
2023-02-08,62.000000,62.560001,61.779999,61.930000,59.087570,1889100
2023-02-09,62.139999,62.439999,61.340000,61.549999,58.725014,2129800
2023-02-10,61.330002,61.730000,61.070000,61.660000,58.829964,1704000
2023-02-13,61.630001,62.330002,61.349998,62.189999,59.335640,1785100
2023-02-14,62.139999,62.599998,61.740002,62.459999,59.593243,2198900
2023-02-15,62.230000,62.490002,62.099998,62.459999,59.593243,2133700
2023-02-16,62.279999,62.570000,62.020000,62.230000,59.373802,2343800
2023-02-17,62.200001,62.709999,61.959999,62.520000,59.650494,2372900
2023-02-21,62.290001,62.290001,61.290001,61.419998,58.600979,2581200
2023-02-22,61.310001,61.360001,60.790001,61.290001,58.476944,2571900
2023-02-23,61.369999,61.639999,61.040001,61.230000,58.419701,2935400
2023-02-24,61.029999,63.000000,60.840000,62.889999,60.003506,4752600
2023-02-27,63.130001,63.490002,62.630001,62.740002,59.860394,4063600
2023-02-28,62.820000,62.820000,62.180000,62.400002,59.536003,5430700
2023-03-01,62.259998,62.570000,61.570000,62.439999,59.574165,4876900
2023-03-02,62.230000,62.250000,61.480000,62.029999,59.182980,2224800
2023-03-03,62.240002,63.119999,62.200001,63.080002,60.184792,3323800
2023-03-06,63.189999,63.599998,62.840000,63.049999,60.156166,1926800
2023-03-07,63.009998,63.020000,61.630001,61.730000,58.896751,3466600
2023-03-08,61.799999,61.799999,61.049999,61.369999,58.553272,2542700
2023-03-09,61.130001,61.180000,58.590000,58.820000,56.120312,4653500
2023-03-10,58.500000,58.759998,57.529999,57.709999,55.061260,7245800
2023-03-13,56.400002,57.209999,55.000000,56.820000,54.212109,7269000
2023-03-14,58.209999,58.310001,56.860001,57.410000,54.775024,4811100
2023-03-15,56.119999,56.590000,55.590000,56.570000,53.973583,4549100
2023-03-16,56.080002,57.830002,55.730000,57.259998,54.631912,5462100
2023-03-17,57.240002,57.419998,56.750000,57.020000,54.402927,8473600
2023-03-20,57.110001,57.820000,56.520000,56.779999,54.173946,11300800
2023-03-21,58.009998,58.169998,57.520000,57.669998,55.023094,8588000
2023-03-22,57.889999,58.369999,57.360001,57.380001,54.746407,5993900
2023-03-23,57.549999,57.919998,56.560001,56.720001,54.116699,5042200
2023-03-24,56.400002,56.759998,55.900002,56.660000,54.059448,4253600
2023-03-27,56.799999,56.860001,56.070000,56.290001,54.524395,9605100
2023-03-28,56.549999,56.549999,55.830002,55.990002,54.233810,8145500
2023-03-29,56.599998,56.880001,56.520000,56.680000,54.902161,7214500
2023-03-30,56.970001,57.279999,56.720001,56.840000,55.057144,1938400
2023-03-31,57.130001,57.529999,57.029999,57.310001,55.512402,3374700
2023-04-03,57.459999,57.860001,57.330002,57.720001,55.909546,5134100
2023-04-04,58.029999,58.299999,57.020000,57.139999,55.347733,2519000
2023-04-05,56.900002,57.119999,56.650002,56.830002,55.047459,1726100
2023-04-06,56.740002,57.070000,56.459999,57.040001,55.250870,1832100
2023-04-10,56.910000,57.410000,56.830002,57.279999,55.483345,4419200
2023-04-11,57.410000,57.950001,57.410000,57.730000,55.919228,3006100
2023-04-12,58.119999,58.340000,57.590000,57.680000,55.870796,2678200
2023-04-13,57.740002,57.840000,57.520000,57.700001,55.890167,4107100
2023-04-14,58.180000,58.599998,57.910000,57.959999,56.142014,3770800
2023-04-17,57.900002,58.000000,57.240002,57.959999,56.142014,2803100
2023-04-18,58.099998,58.450001,58.040001,58.139999,56.316368,3461300
2023-04-19,57.950001,58.509998,57.889999,58.439999,56.606956,3704000
2023-04-20,58.049999,58.599998,58.049999,58.189999,56.364799,2872900
2023-04-21,58.099998,58.130001,57.389999,57.700001,55.890167,2484100
2023-04-24,57.500000,57.680000,57.150002,57.340000,55.541462,2005500
2023-04-25,57.009998,57.160000,55.509998,55.509998,53.768860,3905900
2023-04-26,55.500000,56.400002,55.410000,55.990002,54.233810,3356800
2023-04-27,56.500000,56.750000,56.380001,56.660000,54.882790,2636400
2023-04-28,56.380001,56.849998,56.279999,56.799999,55.018398,2278300
2023-05-01,56.880001,57.230000,56.520000,56.540001,54.766556,1588300
2023-05-02,56.430000,56.500000,54.470001,55.090000,53.362038,3782600
2023-05-03,55.110001,55.740002,55.009998,55.200001,53.468586,3143800
2023-05-04,55.000000,55.000000,53.810001,54.009998,52.315910,3887100
